Protein FDR Confidence: Combined	Master	Accession	Description	Contaminant	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	Chromosome	KEGG Pathways	Reactome Pathways	WikiPathways	# Protein Pathway Groups	Abundance Ratio: (T48h) / (T0)	Abundance Ratio: (T96h) / (T0)	Abundance Ratio: (T96h) / (T48h)	Abundance Ratio (log2): (T48h) / (T0)	Abundance Ratio (log2): (T96h) / (T0)	Abundance Ratio (log2): (T96h) / (T48h)	Abundance Ratio P-Value: (T48h) / (T0)	Abundance Ratio P-Value: (T96h) / (T0)	Abundance Ratio P-Value: (T96h) / (T48h)	Abundance Ratio Adj. P-Value: (T48h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T0)	Abundance Ratio Adj. P-Value: (T96h) / (T48h)	Found in Sample: [S28] F4: 126, Sample, T0, P1	Found in Sample: [S31] F4: 127N, Sample, T0, P2	Found in Sample: [S32] F4: 128N, Sample, T0, P3	Found in Sample: [S29] F5: 126, Sample, T0, P1	Found in Sample: [S39] F5: 127N, Sample, T0, P2	Found in Sample: [S40] F5: 128N, Sample, T0, P3	Found in Sample: [S30] F6: 126, Sample, T0, P1	Found in Sample: [S47] F6: 127N, Sample, T0, P2	Found in Sample: [S48] F6: 128N, Sample, T0, P3	Found in Sample: [S33] F4: 128C, Sample, T48h, P1	Found in Sample: [S34] F4: 129N, Sample, T48h, P2	Found in Sample: [S35] F4: 129C, Sample, T48h, P3	Found in Sample: [S41] F5: 128C, Sample, T48h, P1	Found in Sample: [S42] F5: 129N, Sample, T48h, P2	Found in Sample: [S43] F5: 129C, Sample, T48h, P3	Found in Sample: [S49] F6: 128C, Sample, T48h, P1	Found in Sample: [S50] F6: 129N, Sample, T48h, P2	Found in Sample: [S51] F6: 129C, Sample, T48h, P3	Found in Sample: [S36] F4: 130N, Sample, T96h, P1	Found in Sample: [S37] F4: 130C, Sample, T96h, P2	Found in Sample: [S38] F4: 131, Sample, T96h, P3	Found in Sample: [S44] F5: 130N, Sample, T96h, P1	Found in Sample: [S45] F5: 130C, Sample, T96h, P2	Found in Sample: [S46] F5: 131, Sample, T96h, P3	Found in Sample: [S52] F6: 130N, Sample, T96h, P1	Found in Sample: [S53] F6: 130C, Sample, T96h, P2	Found in Sample: [S54] F6: 131, Sample, T96h, P3	# Protein Groups
High	Master Protein	P28066	Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3	FAUX	38.257	46	8	21	8	241	26.4	4.79	53.46	8	"metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;extracellular;nucleus;organelle lumen;proteasome"	"catalytic activity;nucleotide binding;protein binding"	Pf00227, Pf10584	5686	ENSG00000143106.12	PSMA5	1	Proteasome	"Regulation of RAS by GAPs; CDT1 association with the CDC6:ORC:origin complex; Downstream TCR signaling; UCH proteinases; NIK-->noncanonical NF-kB signaling; Hh mutants that don't undergo autocatalytic processing are degraded by ERAD; SCF-beta-TrCP mediated degradation of Emi1; Neutrophil degranulation; Cross-presentation of soluble exogenous antigens (endosomes); Separation of Sister Chromatids; Vpu mediated degradation of CD4; Hedgehog ligand biogenesis; Regulation of RUNX2 expression and activity; Ub-specific processing proteases; Ubiquitin Mediated Degradation of Phosphorylated Cdc25A; ER-Phagosome pathway; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; ABC-family proteins mediated transport; Regulation of activated PAK-2p34 by proteasome mediated degradation; CDK-mediated phosphorylation and removal of Cdc6; FCERI mediated NF-kB activation; Neddylation; Autodegradation of the E3 ubiquitin ligase COP1; G2/M Checkpoints; Regulation of RUNX3 expression and activity; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; Regulation of expression of SLITs and ROBOs; Removal of licensing factors from origins; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; Regulation of PTEN stability and activity; Regulation of DNA replication; Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha; Vif-mediated degradation of APOBEC3G; Antigen processing: Ubiquitination & Proteasome degradation; GLI3 is processed to GLI3R by the proteasome; SCF(Skp2)-mediated degradation of p27/p21; APC/C:Cdc20 mediated degradation of Securin; Interleukin-1 family signaling; AUF1 (hnRNP D0) binds and destabilizes mRNA; Degradation of GLI1 by the proteasome; Degradation of GLI2 by the proteasome; The role of GTSE1 in G2/M progression after G2 checkpoint; Regulation of ornithine decarboxylase (ODC); Interleukin-20 family signaling; Hedgehog 'on' state; Ubiquitin-dependent degradation of Cyclin D1; Degradation of DVL; RUNX1 regulates transcription of genes involved in differentiation of HSCs; Degradation of AXIN; Autodegradation of Cdh1 by Cdh1:APC/C; Asymmetric localization of PCP proteins; Orc1 removal from chromatin; M/G1 Transition; Activation of NF-kappaB in B cells; Degradation of beta-catenin by the destruction complex; MAPK6/MAPK4 signaling; Dectin-1 mediated noncanonical NF-kB signaling; Defective CFTR causes cystic fibrosis"	Proteasome Degradation	151	1.186	1.281	1.056	0.25	0.36	0.08	0.413371475	0.408379724	0.568025635	0.86579286	0.936691633	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q99733	Nucleosome assembly protein 1-like 4 OS=Homo sapiens OX=9606 GN=NAP1L4 PE=1 SV=1	FAUX	38.169	26	8	24	7	375	42.8	4.69	63.25	8	cell organization and biogenesis	"cytoplasm;nucleus"	"protein binding;RNA binding"	Pf00956	4676	"ENSG00000273562.4; ENSG00000205531.12"	NAP1L4	"11; CHR_HSCHR11_1_CTG7"				0	1.437	0.937	0.666	0.52	-0.09	-0.59	0.042106434	0.968388331	0.267566234	0.242434236	0.99724633	0.836633498	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	O75368	SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens OX=9606 GN=SH3BGRL PE=1 SV=1	FAUX	38.109	61	6	18	6	114	12.8	5.25	57.53	6	"cellular homeostasis;regulation of biological process"	"cytoplasm;nucleus"	"catalytic activity;protein binding"	Pf00462, Pf04908	6451	ENSG00000131171.12	SH3BGRL	X				0	1.362	1.075	0.803	0.45	0.1	-0.32	0.109147346	0.73247225	0.669137218	0.467448878	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q6YHK3	CD109 antigen OS=Homo sapiens OX=9606 GN=CD109 PE=1 SV=2	FAUX	38.048	9	9	15	9	1445	161.6	5.85	45.57	9	"metabolic process;regulation of biological process;transport"	"cell surface;extracellular;membrane"	"enzyme regulator activity;protein binding"	Pf00207, Pf01835, Pf07677, Pf07678, Pf07703, Pf10569, Pf11974, Pf13249	135228	ENSG00000156535.13	CD109	6		"Platelet degranulation ; Post-translational modification: synthesis of GPI-anchored proteins"		7	2.203	3.159	1.404	1.14	1.66	0.49	5.92556E-07	0.000884108	0.10726839	1.24991E-05	0.02158618	0.561727971	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P13647	Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3	FAUX	38.013	14	10	40	4	590	62.3	7.74	87.51	10	"cell death;cell organization and biogenesis;metabolic process"	"cytoplasm;cytosol;membrane;mitochondrion;nucleus"	"catalytic activity;motor activity;protein binding;structural molecule activity"	Pf00038, Pf01576, Pf02994, Pf03961, Pf04111, Pf05957, Pf12128	3852	ENSG00000186081.11	KRT5	12		"Formation of the cornified envelope; Type I hemidesmosome assembly"		6	0.871	0.644	0.723	-0.2	-0.64	-0.47	0.257959067	0.28142274	0.417280002	0.719670723	0.866536323	0.94847618	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q96AC1	Fermitin family homolog 2 OS=Homo sapiens OX=9606 GN=FERMT2 PE=1 SV=1	FAUX	37.974	15	8	21	8	680	77.8	6.7	56.69	8	"cell organization and biogenesis;regulation of biological process;response to stimulus"	"cell surface;cytoplasm;cytoskeleton;cytosol;membrane;nucleus"	protein binding	Pf00169, Pf00373	10979	ENSG00000073712.14	FERMT2	14		Cell-extracellular matrix interactions		3	1.305	1.216	0.943	0.38	0.28	-0.08	0.153231968	0.494555336	0.873056717	0.55602018	0.952676368	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q13310	Polyadenylate-binding protein 4 OS=Homo sapiens OX=9606 GN=PABPC4 PE=1 SV=1	FAUX	37.937	15	9	19	5	644	70.7	9.26	39.15	9	"coagulation;metabolic process"	"cytoplasm;cytosol;nucleus"	"protein binding;RNA binding"	Pf00076, Pf00658, Pf13893, Pf14259	8761	ENSG00000090621.13	PABPC4	1	"RNA degradation; mRNA surveillance pathway; RNA transport"			3	1.206	1.023	0.862	0.27	0.03	-0.21	0.379769038	0.837391728	0.866022796	0.843920852	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q14103	Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens OX=9606 GN=HNRNPD PE=1 SV=1	FAUX	37.785	21	8	27	6	355	38.4	7.81	69.81	8	"metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;cytosol;nucleus"	"DNA binding;protein binding;RNA binding"	Pf00076, Pf13893, Pf14259	3184	ENSG00000138668.18	HNRNPD	4		mRNA Splicing - Major Pathway	mRNA Processing	5	0.973	0.675	0.706	-0.04	-0.57	-0.5	0.667245253	0.344917381	0.368493487	0.972323276	0.890241146	0.942049481	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	A0AVT1	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	FAUX	37.43	10	10	18	10	1052	117.9	6.14	40.72	10	"metabolic process;response to stimulus"	"cytoplasm;cytosol"	"catalytic activity;nucleotide binding;protein binding"	Pf00899, Pf02134, Pf09358, Pf10585	55236	ENSG00000033178.12	UBA6	4	Ubiquitin mediated proteolysis	"Synthesis of active ubiquitin: roles of E1 and E2 enzymes; Antigen processing: Ubiquitination & Proteasome degradation"		9	1.017	0.952	0.962	0.02	-0.07	-0.06	0.866300596	0.995578553	0.818655758	0.997016351	1	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	O75534	Cold shock domain-containing protein E1 OS=Homo sapiens OX=9606 GN=CSDE1 PE=1 SV=2	FAUX	37.418	17	14	30	14	798	88.8	6.25	62.67	14	"metabolic process;regulation of biological process"	"cytoplasm;cytosol;Golgi;membrane"	"DNA binding;protein binding;RNA binding"	Pf00313, Pf12901	7812	ENSG00000009307.15	CSDE1	1				0	0.785	0.581	0.708	-0.35	-0.78	-0.5	0.082797271	0.172736734	0.37378259	0.391850322	0.69686308	0.942049481	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P56192	Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=MARS PE=1 SV=2	FAUX	37.417	14	10	21	10	900	101.1	6.16	49.39	10	"cell communication;metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;cytosol;membrane"	"catalytic activity;nucleotide binding;protein binding;RNA binding"	Pf00043, Pf00133, Pf00458, Pf09334, Pf10978, Pf13409, Pf13410, Pf14497	4141	ENSG00000166986.14	MARS	12	"Selenocompound metabolism; Aminoacyl-tRNA biosynthesis"	"Cytosolic tRNA aminoacylation; SeMet incorporation into proteins"		10	0.895	0.951	1.049	-0.16	-0.07	0.07	0.306467314	0.997573509	0.584825431	0.774301363	1	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9UNM6	26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens OX=9606 GN=PSMD13 PE=1 SV=2	FAUX	37.212	28	11	25	11	376	42.9	5.81	63.46	11	"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport"	"cytosol;extracellular;membrane;nucleus;organelle lumen;proteasome"	"catalytic activity;protein binding;structural molecule activity"	Pf01399	5719	ENSG00000185627.17	PSMD13	11	"Epstein-Barr virus infection; Proteasome"	"Regulation of RAS by GAPs; CDT1 association with the CDC6:ORC:origin complex; Downstream TCR signaling; UCH proteinases; NIK-->noncanonical NF-kB signaling; Hh mutants that don't undergo autocatalytic processing are degraded by ERAD; SCF-beta-TrCP mediated degradation of Emi1; Neutrophil degranulation; Cross-presentation of soluble exogenous antigens (endosomes); Separation of Sister Chromatids; Vpu mediated degradation of CD4; Hedgehog ligand biogenesis; Regulation of RUNX2 expression and activity; Ub-specific processing proteases; Ubiquitin Mediated Degradation of Phosphorylated Cdc25A; ER-Phagosome pathway; APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1; ABC-family proteins mediated transport; Regulation of activated PAK-2p34 by proteasome mediated degradation; CDK-mediated phosphorylation and removal of Cdc6; FCERI mediated NF-kB activation; Neddylation; Autodegradation of the E3 ubiquitin ligase COP1; G2/M Checkpoints; Regulation of RUNX3 expression and activity; Cdc20:Phospho-APC/C mediated degradation of Cyclin A; Regulation of expression of SLITs and ROBOs; Removal of licensing factors from origins; FBXL7 down-regulates AURKA during mitotic entry and in early mitosis; Regulation of PTEN stability and activity; Regulation of DNA replication; Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha; Vif-mediated degradation of APOBEC3G; Antigen processing: Ubiquitination & Proteasome degradation; GLI3 is processed to GLI3R by the proteasome; SCF(Skp2)-mediated degradation of p27/p21; APC/C:Cdc20 mediated degradation of Securin; Interleukin-1 family signaling; AUF1 (hnRNP D0) binds and destabilizes mRNA; Degradation of GLI1 by the proteasome; Degradation of GLI2 by the proteasome; The role of GTSE1 in G2/M progression after G2 checkpoint; Regulation of ornithine decarboxylase (ODC); Interleukin-20 family signaling; Hedgehog 'on' state; Ubiquitin-dependent degradation of Cyclin D1; Degradation of DVL; RUNX1 regulates transcription of genes involved in differentiation of HSCs; Degradation of AXIN; Autodegradation of Cdh1 by Cdh1:APC/C; Asymmetric localization of PCP proteins; Orc1 removal from chromatin; M/G1 Transition; Activation of NF-kappaB in B cells; Degradation of beta-catenin by the destruction complex; MAPK6/MAPK4 signaling; Dectin-1 mediated noncanonical NF-kB signaling; Defective CFTR causes cystic fibrosis"	"Proteasome Degradation; Parkin-Ubiquitin Proteasomal System pathway"	153	0.879	0.675	0.816	-0.19	-0.57	-0.29	0.293791829	0.343637045	0.711562694	0.762147174	0.88943671	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P52565	Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=3	FAUX	37.038	42	6	23	6	204	23.2	5.11	59.48	6	"cellular component movement;regulation of biological process;response to stimulus"	"cytoplasm;cytoskeleton;cytosol"	"enzyme regulator activity;protein binding"	Pf02115	396	ENSG00000141522.11	ARHGDIA	17	"Neurotrophin signaling pathway; Vasopressin-regulated water reabsorption"	"Signalling by NGF; Axonal growth inhibition (RHOA activation); Axonal growth stimulation; Rho GTPase cycle"		11	1.066	0.752	0.73	0.09	-0.41	-0.45	0.905570979	0.51683472	0.438168158	0.998387812	0.952676368	0.94847618	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P62829	60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1	FAUX	37.001	57	7	24	7	140	14.9	10.51	67.4	7	"cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus;transport"	"cytoplasm;cytosol;membrane;ribosome"	"protein binding;RNA binding;structural molecule activity"	Pf00238	9349	ENSG00000125691.12	RPL23	17	Ribosome	"Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; L13a-mediated translational silencing of Ceruloplasmin expression; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Selenocysteine synthesis; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane"	Cytoplasmic Ribosomal Proteins	34	0.947	0.824	0.845	-0.08	-0.28	-0.24	0.551002279	0.693150242	0.809506213	0.931630495	0.990871106	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q9Y2Z0	Protein SGT1 homolog OS=Homo sapiens OX=9606 GN=SUGT1 PE=1 SV=3	FAUX	36.961	30	9	21	9	365	41	5.16	58.82	9	regulation of biological process	"chromosome;cytoplasm;cytosol;nucleus"	protein binding	Pf00515, Pf04969, Pf05002, Pf13414, Pf13431, Pf13432, Pf14559	10910	ENSG00000165416.14	SUGT1	13	NOD-like receptor signaling pathway	The NLRP3 inflammasome	Nucleotide-binding Oligomerization Domain (NOD) pathway	7	0.973	0.58	0.616	-0.04	-0.79	-0.7	0.660096664	0.17239687	0.16293797	0.967427384	0.69686308	0.689964348	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q96FW1	Ubiquitin thioesterase OTUB1 OS=Homo sapiens OX=9606 GN=OTUB1 PE=1 SV=2	FAUX	36.902	36	8	22	8	271	31.3	4.94	63.93	8	"metabolic process;regulation of biological process;response to stimulus"	"cytoplasm;cytosol;nucleus"	"catalytic activity;nucleotide binding;protein binding"	Pf02338, Pf10275	55611	ENSG00000167770.11	OTUB1	11		"Ovarian tumor domain proteases; Ub-specific processing proteases"		5	0.989	0.908	0.953	-0.02	-0.14	-0.07	0.737148821	0.900933563	0.84562757	0.982227132	0.992263517	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	Q96KP4	Cytosolic non-specific dipeptidase OS=Homo sapiens OX=9606 GN=CNDP2 PE=1 SV=2	FAUX	36.864	17	8	20	8	475	52.8	5.97	60.38	8	metabolic process	"cytoplasm;cytosol"	"catalytic activity;metal ion binding"	Pf01546, Pf07687	55748	ENSG00000133313.14	CNDP2	18	"Histidine metabolism; beta-Alanine metabolism; Metabolic pathways; Arginine and proline metabolism"	Glutathione synthesis and recycling		9	0.993	0.891	0.911	-0.01	-0.17	-0.13	0.758342783	0.859921424	0.973031915	0.982227132	0.99132521	0.999131486	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P67775	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform OS=Homo sapiens OX=9606 GN=PPP2CA PE=1 SV=1	FAUX	36.561	26	7	15	1	309	35.6	5.54	44.07	7	"cell death;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus"	"chromosome;cytoplasm;cytoskeleton;cytosol;membrane;mitochondrion;nucleus"	"catalytic activity;metal ion binding;protein binding"	Pf00149	5515	ENSG00000113575.9	PPP2CA	5	"Dopaminergic synapse; Chagas disease (American trypanosomiasis); TGF-beta signaling pathway; Tight junction; Hippo signaling pathway; Adrenergic signaling in cardiomyocytes; AMPK signaling pathway; Long-term depression; mRNA surveillance pathway; Oocyte meiosis; Sphingolipid signaling pathway; Hepatitis C; PI3K-Akt signaling pathway"	"Glycolysis; AXIN missense mutants destabilize the destruction complex; PP2A-mediated dephosphorylation of key metabolic factors; APC truncation mutants have impaired AXIN binding; CTLA4 inhibitory signaling; Activated TLR4 signalling; Separation of Sister Chromatids; MASTL Facilitates Mitotic Progression; S37 mutants of beta-catenin aren't phosphorylated; S33 mutants of beta-catenin aren't phosphorylated; S45 mutants of beta-catenin aren't phosphorylated; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); Misspliced GSK3beta mutants stabilize beta-catenin; Cyclin A/B1/B2 associated events during G2/M transition; T41 mutants of beta-catenin aren't phosphorylated; RAF activation; ERKs are inactivated; Beta-catenin phosphorylation cascade; Negative regulation of MAPK pathway; Initiation of Nuclear Envelope Reformation; Platelet sensitization by LDL; Signaling by GPCR; Interleukin-20 family signaling; Spry regulation of FGF signaling; DARPP-32 events; PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling; Regulation of TP53 Degradation; Disassembly of the destruction complex and recruitment of AXIN to the membrane; Cyclin D associated events in G1; Inhibition of replication initiation of damaged DNA by RB1/E2F1; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Resolution of Sister Chromatid Cohesion; RHO GTPases Activate Formins; Truncations of AMER1 destabilize the destruction complex"	"TNF alpha Signaling Pathway; Brain-Derived Neurotrophic Factor (BDNF) signaling pathway; Dopamine metabolism; Mesodermal Commitment Pathway; Association Between Physico-Chemical Features and Toxicity Associated Pathways; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Wnt Signaling Pathway and Pluripotency; Glycogen Metabolism"	145	0.848	0.513	0.601	-0.24	-0.96	-0.73	0.15131909	0.088464979	0.13765518	0.552546083	0.472658951	0.650613945	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
High	Master Protein	P18621	60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3	FAUX	36.429	44	8	24	8	184	21.4	10.17	63.49	8	"cell organization and biogenesis;metabolic process;transport"	"cytosol;nucleus;ribosome"	"protein binding;RNA binding;structural molecule activity"	Pf00237	6139	"ENSG00000215472.10; ENSG00000265681.7"	RPL17	18	Ribosome	"Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; L13a-mediated translational silencing of Ceruloplasmin expression; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Selenocysteine synthesis; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane"	Cytoplasmic Ribosomal Proteins	34	0.923	0.75	0.804	-0.12	-0.42	-0.32	0.453470951	0.511973105	0.67032745	0.883524785	0.952676368	0.991557151	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	1
